      YRMODAY HRMN  SEC    LATITUDE   LONGITUDE   DEP,km  MAG   NO RMSRES    X,km     Y,km     Z, km      ID
 120 20130410 2234 40.526  39N47.611  119W00.792   0.093  0.74  18  0.026    2.288    1.895    0.093 130410223440   
 121 20130411 0027 45.744  39N48.073  119W00.663  -0.663 -0.40   8  0.018    2.472    2.751   -0.663  13041100274   
 122 20130528 0120 20.945  39N47.658  119W00.601   1.334  0.83  14  0.099    2.562    1.982    1.334 130528012020   
 123 20131225 0626 41.356  39N47.513  119W00.871  -0.143  0.21  16  0.018    2.175    1.715   -0.143 131225062641   
 124 20131225 0642 59.020  39N47.674  119W00.852   0.198 -0.40  14  0.026    2.203    2.012    0.198  13122506425   
 125 20131225 0645 26.060  39N47.646  119W00.788  -0.127  0.20  16  0.018    2.294    1.960   -0.127 131225064525   
 126 20140109 1251 51.008  39N47.546  119W00.842   0.429 -0.70  12  0.035    2.217    1.774    0.429  14010912515   
 127 20140213 0558 11.542  39N47.809  119W00.498  -0.299 -0.00   6  0.010    2.709    2.262   -0.299  14021305581   
 128 20140214 1250 51.613  39N47.641  119W00.785   0.069  0.49  12  0.022    2.299    1.952    0.069 140214125051   
 129 20140217 0857 37.844  39N47.629  119W00.907  -0.113 -0.00  17  0.031    2.124    1.929   -0.113  14021708573   
 130 20140302 0225 47.531  39N46.984  119W01.832   1.283  0.37   8  0.016    0.805    0.735    1.283 140302022547   
 131 20140302 0719 26.941  39N47.717  119W00.740  -0.077 -0.40   8  0.013    2.362    2.091   -0.077  14030207192   
 132 20140302 0832 22.991  39N47.506  119W00.864  -0.241 -0.10  10  0.015    2.186    1.701   -0.241  14030208322   
 133 20140302 1210 40.300  39N47.653  119W00.774   0.417  0.34  15  0.019    2.314    1.973    0.417 140302121040   
 134 20140302 1217 32.828  39N47.614  119W00.825   0.261  0.13  13  0.021    2.242    1.901    0.261 140302121732   
 135 20140302 1333 33.674  39N47.661  119W00.750   0.420  0.48  10  0.017    2.349    1.988    0.420 140302133333   
 136 20140302 1523 31.754  39N47.599  119W00.856  -0.054  0.75  18  0.020    2.197    1.873   -0.054 140302152331   
 137 20140302 1532 51.372  39N47.589  119W00.825  -0.060  0.48  17  0.023    2.242    1.855   -0.060 140302153251   
 138 20140302 1826 42.428  39N47.480  119W01.055   0.557 -0.60   9  0.019    1.914    1.653    0.557  14030218264   
 139 20140303 1648 57.470  39N47.530  119W00.853  -0.006  0.28  12  0.019    2.201    1.745   -0.006 140303164857   
 140 20140407 0314 33.762  39N47.699  119W00.819   0.206 -0.00  11  0.014    2.250    2.059    0.206  14040703143   
 141 20140407 0342 32.546  39N47.633  119W00.834   0.110  0.31  16  0.017    2.228    1.937    0.110 140407034232   
 142 20140407 0348  9.281  39N47.699  119W00.821   0.179  0.04  14  0.019    2.247    2.059    0.179 140407034809   
 143 20140407 0409  3.581  39N47.601  119W00.903   0.707  0.32  14  0.020    2.131    1.877    0.707 140407040903   
 144 20140407 0413  8.978  39N47.901  119W00.712   0.263  0.15   5  0.006    2.402    2.432    0.263 140407041309   
 145 20140407 0418 57.725  39N47.559  119W00.800   0.056  0.43  14  0.017    2.277    1.800    0.056 140407041857   
 146 20140407 0431 22.333  39N47.861  119W00.826   0.297  0.26  11  0.020    2.240    2.358    0.297 140407043121   
 147 20140407 0457 10.495  39N47.766  119W00.757   0.203 -0.30   9  0.013    2.339    2.182    0.203  14040704571   
 148 20140407 0502 34.269  39N47.528  119W00.801  -0.891 -0.80   9  0.012    2.276    1.742   -0.891  14040705023   
 149 20140407 0503 39.723  39N47.568  119W00.761  -0.150 -0.30  11  0.020    2.332    1.816   -0.150  14040705033   
 150 20140407 0504 10.643  39N47.682  119W00.799   0.121  0.30  18  0.020    2.279    2.027    0.121 140407050410   
 151 20140407 0525 39.953  39N47.552  119W00.651  -0.166  0.05  12  0.022    2.490    1.787   -0.166 140407052539   
 152 20140407 0530  8.225  39N47.876  119W00.753  -0.026 -0.10   6  0.005    2.343    2.385   -0.026  14040705300   
 153 20140407 0530 26.491  39N47.600  119W00.872   0.324  0.03  10  0.015    2.174    1.876    0.324 140407053026   
 154 20140407 0533 53.785  39N47.948  119W00.821   0.732  0.32   9  0.018    2.247    2.520    0.732 140407053353   
 155 20140407 0546 53.806  39N47.723  119W00.797   0.290 -0.40  13  0.031    2.282    2.103    0.290  14040705465   
 156 20140407 0552  7.189  39N47.664  119W00.822   0.287  0.51  16  0.015    2.246    1.993    0.287 140407055207   
 157 20140407 0552 51.691  39N47.564  119W00.962   0.026  0.13  18  0.022    2.045    1.808    0.026 140407055251   
 158 20140407 0618 58.527  39N47.589  119W00.929   0.535  0.54  18  0.019    2.093    1.854    0.535 140407061858   
 159 20140407 0619 27.243  39N47.639  119W01.221  -0.510 -0.30   9  0.017    1.677    1.947   -0.510  14040706192   
 160 20140407 0620 11.591  39N47.652  119W00.856   0.170 -0.10  10  0.018    2.197    1.971    0.170  14040706201   
 161 20140407 0626 18.851  39N47.801  119W00.495  -0.109 -0.60   5  0.011    2.712    2.247   -0.109  14040706261   
 162 20140407 0627 13.998  39N47.862  119W00.857   0.124 -0.40   9  0.010    2.195    2.361    0.124  14040706271   
 163 20140407 0628 52.988  39N47.905  119W00.488  -0.218 -0.40   8  0.017    2.723    2.440   -0.218  14040706285   
 164 20140407 0634 33.257  39N47.671  119W00.857   0.527  0.37  15  0.018    2.195    2.007    0.527 140407063433   
 165 20140407 0636 42.895  39N47.667  119W00.784   0.057 -0.00  15  0.023    2.301    1.999    0.057  14040706364   
 166 20140407 0637 28.387  39N47.670  119W00.746  -0.223 -0.70   5  0.008    2.354    2.005   -0.223  14040706372   
 167 20140407 0645 56.335  39N47.748  119W00.729  -0.055 -0.50  11  0.011    2.379    2.148   -0.055  14040706455   
 168 20140407 0654 41.197  39N47.745  119W00.823  -0.027 -0.60  13  0.021    2.244    2.143   -0.027  14040706544   
 169 20140407 0655  5.105  39N47.732  119W00.696   0.214  0.66  18  0.016    2.425    2.120    0.214 140407065505   
 170 20140407 0655 33.318  39N47.814  119W00.766   0.292  0.27  15  0.034    2.325    2.272    0.292 140407065532   
 171 20140407 0710  7.079  39N47.632  119W00.839   0.294 -0.30  10  0.013    2.221    1.935    0.294  14040707100   
 172 20140407 0714 26.582  39N47.602  119W00.854   0.066  0.34  17  0.017    2.200    1.878    0.066 140407071426   
 173 20140407 0718  3.016  39N47.556  119W00.812   0.392  0.29  12  0.020    2.260    1.793    0.392 140407071802   
 174 20140407 0720 44.881  39N47.594  119W00.794  -0.031  0.18  15  0.022    2.286    1.865   -0.031 140407072044   
 175 20140407 0727 19.846  39N47.679  119W00.517   0.278 -0.70  11  0.028    2.681    2.022    0.278  14040707271   
 176 20140407 0727 46.592  39N47.526  119W01.053   0.441 -0.50  15  0.022    1.916    1.739    0.441  14040707274   
 177 20140407 0733 58.793  39N47.564  119W00.810  -0.388 -0.00  14  0.019    2.264    1.810   -0.388  14040707335   
 178 20140407 0737 15.160  39N47.718  119W00.761   0.344 -0.30   8  0.020    2.332    2.093    0.344  14040707371   
 179 20140407 0752 40.386  39N47.789  119W00.731   0.198 -0.50   8  0.012    2.376    2.225    0.198  14040707524   
 180 20140407 0752 59.104  39N47.565  119W00.784  -0.352 -0.40  12  0.019    2.299    1.810   -0.352  14040707525   
 181 20140407 0753 19.558  39N47.591  119W00.824  -0.115  0.71  16  0.019    2.243    1.859   -0.115 140407075319   
 182 20140407 0759  5.753  39N47.792  119W00.780   0.236 -0.40  16  0.018    2.305    2.230    0.236  14040707590   
 183 20140407 0759 32.763  39N47.743  119W00.851   0.099 -0.10  14  0.015    2.205    2.141    0.099  14040707593   
 184 20140407 0806 58.580  39N47.587  119W00.867   0.362 -0.40  10  0.013    2.182    1.851    0.362  14040708065   
 185 20140407 0810 49.151  39N47.604  119W00.717  -0.173 -0.10   6  0.013    2.396    1.882   -0.173  14040708104   
 186 20140407 0814 54.428  39N47.653  119W00.961   0.305 -0.40   7  0.013    2.047    1.974    0.305  14040708145   
 187 20140407 0826 14.548  39N47.535  119W00.913  -0.200 -0.20  14  0.017    2.116    1.754   -0.200  14040708261   
 188 20140407 0907 10.723  39N48.750  119W00.794   0.374  0.10   5  0.031    2.285    4.002    0.374 140407090710   
 189 20140407 0922 15.059  39N47.803  119W00.790   0.298  0.14  16  0.019    2.292    2.251    0.298 140407092215   
 190 20140407 1034 18.242  39N47.666  119W00.789  -0.101 -0.50  10  0.015    2.294    1.998   -0.101  14040710341   
 191 20140407 1039  0.454  39N47.828  119W00.579   0.208  0.09  15  0.018    2.593    2.297    0.208 140407103900   
 192 20140407 1048 23.632  39N47.644  119W00.692  -0.269 -0.80   6  0.017    2.431    1.956   -0.269  14040710482   
 193 20140407 1049 39.065  39N47.560  119W00.835  -0.227  0.10  18  0.018    2.226    1.801   -0.227 140407104938   
 194 20140407 1053 17.779  39N47.955  119W00.363  -0.057 -0.60   8  0.019    2.901    2.532   -0.057  14040710531   
 195 20140407 1103 42.059  39N47.536  119W00.682  -0.190 -0.60   9  0.018    2.446    1.757   -0.190  14040711034   
 196 20140407 1127 22.518  39N47.693  119W00.922  -0.298 -0.40  10  0.017    2.102    2.048   -0.298  14040711272   
 197 20140407 1212 16.125  39N47.900  119W00.419   0.161  0.17  15  0.017    2.821    2.431    0.161 140407121216   
 198 20140407 1214 55.909  39N48.101  119W00.341   0.065 -0.20   9  0.019    2.933    2.803    0.065  14040712145   
 199 20140407 1349 13.231  39N47.726  119W00.830   0.131  0.30  12  0.014    2.235    2.108    0.131 140407134913   
 200 20140407 1356 16.627  39N48.442  119W00.138   0.280  1.08  18  0.030    3.222    3.434    0.280 140407135616   
 201 20140407 1434 28.697  39N47.576  119W00.829   0.420  0.62  19  0.018    2.236    1.830    0.420 140407143428   
 202 20140407 1438 27.111  39N47.781  119W00.688   0.093  0.27  15  0.019    2.437    2.211    0.093 140407143827   
 203 20140407 1442 32.456  39N47.764  119W00.734   0.010 -0.60   8  0.015    2.372    2.179    0.010  14040714423   
 204 20140407 1447 16.213  39N47.830  119W00.633   0.139  0.14   8  0.017    2.515    2.300    0.139 140407144716   
 205 20140407 1528 28.122  39N48.571  118W59.990   0.276  1.73  20  0.031    3.433    3.672    0.276 140407152828   
 206 20140407 1605 29.878  39N47.898  119W00.599   0.200  0.54  17  0.019    2.565    2.427    0.200 140407160529   
 207 20140407 1613  1.360  39N47.695  119W00.867   0.236 -0.10   9  0.010    2.181    2.052    0.236  14040716130   
 208 20140407 1615 27.169  39N47.526  119W00.761  -0.226 -0.50  10  0.022    2.333    1.738   -0.226  14040716152   
 209 20140407 1619 44.649  39N47.561  119W00.751  -0.077 -0.20  12  0.019    2.347    1.804   -0.077  14040716194   
 210 20140407 1633 38.971  39N47.677  119W00.659   0.165  0.86  20  0.020    2.478    2.017    0.165 140407163338   
 211 20140407 1656 12.405  39N47.729  119W00.792   0.234 -0.30   8  0.011    2.289    2.114    0.234  14040716561   
 212 20140407 1746  7.140  39N47.632  119W00.767   0.445 -0.00  14  0.020    2.325    1.934    0.445  14040717460   
 213 20140407 1846 26.556  39N47.581  119W00.819  -0.067  0.46  17  0.023    2.250    1.840   -0.067 140407184626   
 214 20140407 1857 22.454  39N48.301  119W01.040  -0.854  0.28  11  0.015    1.935    3.173   -0.854 140407185722   
 215 20140407 1920 13.455  39N47.656  119W00.866   0.330 -0.60   8  0.009    2.183    1.979    0.330  14040719201   
 216 20140407 2023 48.761  39N47.633  119W00.911   0.002  0.05   6  0.011    2.119    1.936    0.002 140407202348   
 217 20140407 2104 35.455  39N47.751  119W00.797   0.165 -0.30  14  0.015    2.282    2.154    0.165  14040721043   
 218 20140407 2221 55.622  39N47.754  119W00.997   0.922 -0.20   9  0.016    1.996    2.161    0.922  14040722215   
 219 20140407 2244 15.662  39N47.566  119W01.026   0.355  0.18  13  0.019    1.955    1.813    0.355 140407224415   
 220 20140407 2309 26.142  39N47.612  119W00.881   0.227 -0.30   9  0.020    2.161    1.897    0.227  14040723092   
 221 20140407 2312 33.875  39N47.590  119W00.960   0.126 -0.50  10  0.025    2.048    1.856    0.126  14040723123   
 222 20140407 2315  2.051  39N47.684  119W00.972   0.099 -0.30   9  0.017    2.031    2.030    0.099  14040723150   
 223 20140407 2341  2.408  39N47.551  119W00.914   0.319 -0.10  12  0.019    2.114    1.785    0.319  14040723410   
 224 20140408 0033 32.565  39N47.694  119W01.100  -0.558  0.25   9  0.018    1.850    2.050   -0.558 140408003332   
 225 20140408 0040 51.212  39N47.263  119W00.601  -0.388 -0.90   6  0.008    2.562    1.251   -0.388  14040800405   
 226 20140408 0048 32.881  39N47.941  119W00.595   0.415  1.38  16  0.018    2.570    2.506    0.415 140408004832   
 227 20140408 0153 59.689  39N47.712  119W00.802   0.223 -0.40  10  0.012    2.274    2.083    0.223  14040801535   
 228 20140408 0344 37.066  39N47.730  119W00.764   0.038  0.03   6  0.012    2.329    2.115    0.038 140408034437   
 229 20140408 0828 28.501  39N47.724  119W00.734  -0.188 -0.80   5  0.008    2.371    2.105   -0.188  14040808282   
 230 20140408 0931 51.153  39N48.296  119W00.911   0.522 -0.10   9  0.018    2.119    3.164    0.522  14040809315   
 231 20140408 1055 13.942  39N47.739  119W00.799   0.326  0.01  11  0.013    2.278    2.131    0.326 140408105513   
 232 20140408 1055 48.487  39N47.735  119W00.797   0.281 -0.00  12  0.016    2.281    2.125    0.281  14040810554   
 233 20140408 1105 24.302  39N47.725  119W00.900   0.032 -0.50   8  0.016    2.134    2.107    0.032  14040811052   
 234 20140408 1122 58.462  39N48.018  119W00.909   0.998  0.79  16  0.018    2.121    2.649    0.998 140408112258   
